Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
AmrHI,Canada,Montréal,34,2008,1 urban residential and 6 urban commercial stations,NA,"Environment Canada. Ground-level Ozone and Fine Particulate Matter (PM2.5) Concentrations at Monitoring Stations, Canada, 2008, calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Morrisburg,17,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Nanaimo,11,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Nelson,13,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,North Bay,14,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Oshawa,19,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Osoyoos,12,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Ottawa,16,2008,1 Urban residential and 1 urban commercial stations,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Parry Sound,14,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Peterborough,18,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Pictou,17,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Port Alberni,10,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
